Tags	GO ID	GO Name	GO Category	FDR	P-Value	Nr Test	Nr Reference	Non Annot Test	Non Annot Reference	TestSet Sequences
[CYANO]	GO:0006080	substituted mannan metabolic process	BIOLOGICAL_PROCESS	1.0	0.0023781806086665947	1	0	142	59987	c238022_g1_i1
[CYANO]	GO:0015074	DNA integration	BIOLOGICAL_PROCESS	1.0	0.007939110989786283	4	323	139	59664	c245661_g1_i1;c244698_g1_i3;c240497_g3_i1;c241766_g4_i3
[CYANO]	GO:0000186	activation of MAPKK activity	BIOLOGICAL_PROCESS	1.0	0.007117706138432436	1	2	142	59985	c243281_g1_i1
[CYANO]	GO:0015703	chromate transport	BIOLOGICAL_PROCESS	1.0	0.0023781806086665947	1	0	142	59987	c238368_g1_i5
[CYANO]	GO:0051568	histone H3-K4 methylation	BIOLOGICAL_PROCESS	1.0	0.007117706138432436	1	2	142	59985	c240155_g1_i1
[CYANO]	GO:0006376	mRNA splice site selection	BIOLOGICAL_PROCESS	1.0	0.007117706138432436	1	2	142	59985	c238451_g1_i1
[CYANO]	GO:0006656	phosphatidylcholine biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.046511384390193526	1	19	142	59968	c243266_g1_i1
[CYANO]	GO:0009820	alkaloid metabolic process	BIOLOGICAL_PROCESS	1.0	0.007117706138432436	1	2	142	59985	c245803_g1_i3
[CYANO]	GO:0045122	aflatoxin biosynthetic process	BIOLOGICAL_PROCESS	1.0	0.01183487173313139	1	4	142	59983	c215989_g1_i1
[CYANO]	GO:0046177	D-gluconate catabolic process	BIOLOGICAL_PROCESS	1.0	0.021202541630176472	1	8	142	59979	c243785_g1_i1
[CYANO]	GO:0005034	osmosensor activity	MOLECULAR_FUNCTION	1.0	0.014185102310946034	1	5	142	59982	c237639_g1_i1
[CYANO]	GO:0003885	D-arabinono-1,4-lactone oxidase activity	MOLECULAR_FUNCTION	1.0	0.009479077370804327	1	3	142	59984	c232053_g1_i1
[CYANO]	GO:0015109	chromate transmembrane transporter activity	MOLECULAR_FUNCTION	1.0	0.0023781806086665947	1	0	142	59987	c238368_g1_i5
