Name	logFC	logCPM	PValue	FDR		Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
c245556_g2_i1	-9.092309193	6.585018902	1.74E-81	9.68E-78	[BLASTED, MAPPED]	c245556_g2_i1	OAJ09685.1hypothetical protein A4X09_g7648	3842	1	1.5E-62	59.32	2	P:GO:0015074; F:GO:0003676	P:DNA integration; F:nucleic acid binding					
c244815_g1_i3	-9.049912322	7.399528374	1.69E-72	4.68E-69	[BLASTED]	c244815_g1_i3	KZT71068.1hypothetical protein DAEQUDRAFT_666700, partial	987	1	2.3E-32	53.9								
c26350_g1_i2	-10.069914	5.34278765	3.26E-40	4.61E-37	[BLASTED]	c26350_g1_i2	KIM78040.1hypothetical protein PILCRDRAFT_824756	2888	1	7.1E-73	65.06								
c305580_g1_i1	-9.417852921	5.540635267	3.32E-40	4.61E-37	[BLASTED, MAPPED]	c305580_g1_i1	ORY95299.1hypothetical protein BCR43DRAFT_525044	3262	1	5.0E-91	66.24	3	P:GO:0055114; F:GO:0016491; F:GO:0046872	P:oxidation-reduction process; F:oxidoreductase activity; F:metal ion binding					
c239830_g1_i1	-6.813097577	6.870327739	5.06E-36	5.62E-33	[BLASTED]	c239830_g1_i1	OJD27085.1hypothetical protein ACJ73_01525	4640	1	1.2E-165	62.98								
c334092_g1_i1	-8.579661791	5.613978428	2.16E-35	2.00E-32	[BLASTED, MAPPED]	c334092_g1_i1	KXN65468.1glutathione S-transferase	1415	1	1.1E-69	72.03	1	F:GO:0016740	F:transferase activity					
c146107_g1_i1	-8.026864033	5.398690613	4.38E-35	3.47E-32	[BLASTED, MAPPED, ANNOTATED]	c146107_g1_i1	KKY21312.1putative phosphoadenosine phosphosulfate reductase	1721	1	8.6E-46	94.95	2	P:GO:0019379; F:GO:0004604	P:sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin); F:phosphoadenylyl-sulfate reductase (thioredoxin) activity	EC:1.8.4.8	Phosphoadenylyl-sulfate reductase (thioredoxin)			
c235967_g1_i1	-5.18823444	6.477066676	5.05E-31	3.50E-28	[BLASTED, MAPPED, ANNOTATED]	c235967_g1_i1	SLM41409.1Zn(2)-C6 fungal-type DNA-binding domain	2255	1	6.7E-268	87.5	5	P:GO:0006357; F:GO:0000981; F:GO:0003677; F:GO:0008270; C:GO:0005634	P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:zinc ion binding; C:nucleus					
c245800_g1_i2	-8.711898393	5.454819198	4.29E-30	2.65E-27	[BLASTED]	c245800_g1_i2	KNG45260.1gag/polymerase/env polyprotein	4271	1	8.2E-17	51.48								
c393451_g1_i1	-8.559992325	5.340493443	7.69E-26	3.88E-23	[BLASTED]	c393451_g1_i1	ORX93371.1C-signal	1374	1	9.0E-34	53.85								
c242189_g1_i2	-3.374747832	6.671137378	3.02E-25	1.40E-22	[BLASTED]	c242189_g1_i2	KPM44229.1hypothetical protein AK830_g2325	1413	1	9.6E-59	77.14								
c34486_g1_i1	-8.280886842	5.50652482	2.03E-24	8.05E-22	[BLASTED]	c34486_g1_i1	OCK76924.1lipid particle protein	381	1	1.6E-53	98.13								
c244632_g1_i9	-8.928478639	4.742700072	6.52E-21	2.26E-18	[BLASTED, MAPPED]	c244632_g1_i9	CCO34449.1Retrotransposable element Tf2 155 kDa protein type 1	627	1	2.0E-12	46.84	4	P:GO:0015074; F:GO:0003676; F:GO:0008270; C:GO:0005634	P:DNA integration; F:nucleic acid binding; F:zinc ion binding; C:nucleus					
c365685_g1_i1	-8.764823646	4.437250265	3.74E-20	1.15E-17
c236728_g1_i1	-3.774842476	6.829471495	7.50E-19	2.19E-16	[BLASTED]	c236728_g1_i1	OCL01491.1hypothetical protein AOQ84DRAFT_434837	5693	1	2.7E-132	57.56								
c241861_g1_i6	-7.932629937	4.904598847	3.13E-18	8.27E-16	[NO-BLAST]	c241861_g1_i6	---NA---	2517											
c26199_g1_i1	-9.237178435	3.850311806	3.33E-17	8.04E-15	[BLASTED]	c26199_g1_i1	OCL12866.1protein phosphatase methylesterase 1	2469	1	1.7E-33	67.44								
c243827_g1_i1	-3.217572483	7.683823592	4.24E-17	9.81E-15	[BLASTED, MAPPED, ANNOTATED]	c243827_g1_i1	OJD18667.1hypothetical protein AJ78_01363	4731	1	6.2E-175	79.05	2	P:GO:0055085; C:GO:0016021	P:transmembrane transport; C:integral component of membrane					
c33345_g1_i1	-8.482949751	4.286515706	5.13E-17	1.14E-14	[NO-BLAST]	c33345_g1_i1	---NA---	993											
c400197_g1_i1	-10.27856182	3.807951419	5.65E-17	1.21E-14	[BLASTED, MAPPED]	c400197_g1_i1	KZO95054.1hypothetical protein CALVIDRAFT_538520	1398	1	7.1E-10	64.62	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c214281_g1_i2	-8.167855888	4.366482768	3.55E-16	7.30E-14	[NO-BLAST]	c214281_g1_i2	---NA---	702											
c238899_g1_i1	-10.27966711	3.806317839	9.24E-16	1.83E-13
c305848_g1_i1	-8.84840721	3.523463197	1.12E-15	2.07E-13	[BLASTED, MAPPED]	c305848_g1_i1	CCG83506.1Protein sfk1	3100	1	9.2E-34	51.75	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c398918_g1_i1	-8.898469964	4.124435649	1.87E-15	3.35E-13	[BLASTED]	c398918_g1_i1	ORY30188.1hypothetical protein BCR39DRAFT_558711	827	1	1.3E-14	60.4								
c239280_g1_i5	-3.661764116	6.862464073	2.14E-14	3.59E-12	[BLASTED]	c239280_g1_i5	OCL01662.1MFS general substrate transporter	4320	1	5.7E-159	75.28								
c89369_g1_i1	-9.396663041	3.06524957	3.17E-14	5.18E-12	[BLASTED, MAPPED]	c89369_g1_i1	CDO70266.1hypothetical protein BN946_scf184942.g66	1952	1	4.9E-9	55.45	2	P:GO:0016567; F:GO:0061630	P:protein ubiquitination; F:ubiquitin protein ligase activity					
c238830_g1_i14	-8.81427302	3.116782049	3.52E-14	5.58E-12	[BLASTED, MAPPED, ANNOTATED]	c238830_g1_i14	OBT60089.1hypothetical protein VE03_10909, partial	3016	1	5.6E-10	72.73	1	F:GO:0005488	F:binding					
c206661_g1_i3	-6.355416694	6.00727348	1.40E-12	1.99E-10	[BLASTED]	c206661_g1_i3	KWU42158.1putative Rossman fold oxidoreductase	841	1	7.8E-62	65.58								
c245741_g2_i2	-2.021141232	8.48730584	1.39E-12	1.99E-10	[BLASTED, MAPPED, ANNOTATED]	c245741_g2_i2	SLM34536.1sugar transporter stl1	10635	1	5.2E-278	88.37	4	P:GO:0008643; P:GO:0055085; F:GO:0022857; C:GO:0016021	P:carbohydrate transport; P:transmembrane transport; F:transmembrane transporter activity; C:integral component of membrane					
c230228_g1_i1	-5.519800279	8.587774656	4.77E-12	6.30E-10
c246417_g1_i1	-8.480005858	3.094500368	2.14E-11	2.70E-09	[BLASTED]	c246417_g1_i1	OAJ07882.1hypothetical protein A4X13_g154	531	1	4.9E-20	69.72								
c242986_g1_i2	-2.739986494	6.240956361	4.30E-11	5.30E-09	[BLASTED]	c242986_g1_i2	OCK96683.1amino acid transporter	1635	1	1.4E-198	78.75								
c236414_g1_i1	-2.492706843	8.362457979	1.33E-10	1.51E-08	[BLASTED, MAPPED]	c236414_g1_i1	SLM38560.1Nucleotide-diphospho-sugar transferases	3798	1	8.4E-114	59.69	5	P:GO:0006486; F:GO:0016740; F:GO:0016757; C:GO:0016020; C:GO:0016021	P:protein glycosylation; F:transferase activity; F:transferase activity, transferring glycosyl groups; C:membrane; C:integral component of membrane					
c245218_g1_i4	-1.921035763	8.149561941	1.61E-10	1.79E-08	[BLASTED, MAPPED]	c245218_g1_i4	OTB12429.1hypothetical protein K445DRAFT_378630	10929	1	3.3E-38	57.71	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c222238_g3_i1	-5.086601427	12.57753543	2.00E-10	2.17E-08
c243114_g3_i2	-2.098168047	8.613029693	8.14E-10	8.36E-08	[BLASTED, MAPPED]	c243114_g3_i2	GAP93180.2putative 4-hydroxybenzoate polyprenyl transferase	777	1	6.2E-72	71.89	1	F:GO:0016740	F:transferase activity					
c238204_g1_i1	-2.434165672	6.022773344	4.79E-09	4.58E-07	[BLASTED, MAPPED]	c238204_g1_i1	OMH82660.140S ribosomal protein S8-B	1986	1	1.9E-26	74.51	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome					
c242703_g1_i3	-2.375087834	6.027816198	1.23E-08	1.12E-06	[BLASTED]	c242703_g1_i3	OCK97437.1kinase-like protein	1929	1	3.4E-164	63.09								
c242782_g2_i2	-4.682899013	5.211440953	1.40E-08	1.26E-06	[BLASTED]	c242782_g2_i2	SLM40416.1hypothetical protein LPUS_11209	1686	1	1.8E-94	63.99								
c233100_g2_i2	-9.108094732	6.551952483	1.53E-08	1.35E-06	[BLASTED, MAPPED, ANNOTATED]	c233100_g2_i2	OTA55689.1choline transport protein	1266	1	8.4E-143	77.22	1	C:GO:0016020	C:membrane					
c239723_g1_i2	-2.491884008	6.60702175	2.13E-08	1.79E-06	[BLASTED]	c239723_g1_i2	SLM41395.1von Willebrand factor, type A	6190	1	2.2E-86	68.82								
c239366_g1_i2	-2.746028928	6.004466946	2.85E-08	2.36E-06	[BLASTED, MAPPED]	c239366_g1_i2	SLM39674.1hypothetical protein LPUS_10269	2372	1	3.1E-34	54.07	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c230616_g1_i1	-4.152994043	9.925969171	3.34E-08	2.72E-06	[BLASTED, MAPPED]	c230616_g1_i1	GAP92598.1putative Tat pathway signal sequence	432	1	1.7E-32	55.65	3	P:GO:0043386; C:GO:0016020; C:GO:0016021	P:mycotoxin biosynthetic process; C:membrane; C:integral component of membrane					
